,capacity,bucket_size,alpha,fpr,rehash,type
110,65536,8,0.98603249,0.00018376,6.789121,AWARE
111,131072,2,0.87250519,5.684e-05,7.197542,AWARE
112,131072,4,0.95719147,9.764e-05,6.957607,AWARE
113,131072,8,0.98352623,0.00023175,6.794519,AWARE
114,262144,2,0.86690903,6.38e-05,6.428486,AWARE
115,262144,4,0.95658112,9.272e-05,6.675938,AWARE
116,262144,8,0.98119211,0.00023181,6.319153,AWARE
117,524288,2,0.86638641,3.522e-05,6.389096,AWARE
118,524288,4,0.95435429,0.00010942,6.414817,AWARE
119,524288,8,0.98345518,0.00023807,6.466691,AWARE
