,capacity,alpha,fpr
0,10.0,0.95629883,0.00025523
1,11.0,0.95898438,6.364e-05
2,12.0,0.96307373,9.506e-05
3,13.0,0.95367432,6.4e-05
4,14.0,0.95402527,7.197e-05
5,15.0,0.95777893,5.974e-05
6,16.0,0.95491791,5.393e-05
7,17.0,0.95196342,5.009e-05
8,18.0,0.9490118,4.522e-05
9,19.0,0.94701052,5.589e-05
10,20.0,0.94649029,5.869e-05
11,21.0,0.94472742,5.899e-05
