,capacity,alpha,fpr
0,10.0,0.99072266,0.0002464
1,11.0,0.98669434,0.00012371
2,12.0,0.98800659,0.00013899
3,13.0,0.98654175,0.00010827
4,14.0,0.98247528,0.00013978
5,15.0,0.98545837,0.00012581
6,16.0,0.98410988,9.109e-05
7,17.0,0.98058128,0.00011476
8,18.0,0.97646666,0.00011525
9,19.0,0.98103476,0.00011884
10,20.0,0.97978699,0.00011656
11,21.0,0.97776246,0.00011924
