,capacity,alpha,fpr
0,10.0,0.55859375,0.0
1,11.0,0.43798828,0.0
2,12.0,0.51342773,0.0
3,13.0,0.53063965,0.0
4,14.0,0.51123047,0.0
5,15.0,0.50540161,0.0
6,16.0,0.51271057,2.976e-05
7,17.0,0.50228882,1.519e-05
8,18.0,0.50674057,7.53e-06
9,19.0,0.50352669,9.47e-06
10,20.0,0.49440289,9.64e-06
11,21.0,0.49977207,5.25e-06
